epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2099,1.07205,1.58123,1.05875,1.17669,0,0.68791,0.69932,0.68045,0.40551,0.59256,0.58408,0.50081,0.15282,1.4735,1.25107,1.43635,1.33472,0,0.000663805,0.000663805,0.000663805
2,186.564,1.07881,1.5614,1.03144,1.17394,0,0.73326,0.66667,0.68063,0.40746,0.61122,0.55422,0.47914,0.1468,1.47739,1.34435,1.43405,1.34383,0,0.0013173,0.0013173,0.0013173
3,261.998,1.11029,1.54699,1.06557,1.17741,0,0.72672,0.63052,0.66208,0.38563,0.62602,0.52209,0.49943,0.1728,1.51942,1.30999,1.48062,1.40281,0,0.0019576,0.0019576,0.0019576
4,343.416,1.13152,1.58256,1.09445,1.19227,0,0.70879,0.64257,0.659,0.33913,0.61133,0.55422,0.46469,0.1335,1.56971,1.26705,1.51665,1.39376,0,0.0019406,0.0019406,0.0019406
5,420.523,1.09171,1.55388,1.03708,1.17366,0,0.74894,0.63496,0.6982,0.42452,0.63999,0.54259,0.51196,0.15707,1.42888,1.34305,1.30265,1.27687,0,0.0019208,0.0019208,0.0019208
6,504.338,1.08467,1.55518,1.03483,1.17622,0,0.72125,0.66265,0.68175,0.38234,0.60323,0.55422,0.47967,0.1456,1.48624,1.29051,1.50312,1.36958,0,0.001901,0.001901,0.001901
7,577.454,1.06124,1.55588,1.00117,1.15894,0,0.71864,0.68273,0.68207,0.3883,0.60873,0.57831,0.48518,0.14224,1.5163,1.30846,1.3967,1.30212,0,0.0018812,0.0018812,0.0018812
8,644.778,1.05155,1.54142,0.99188,1.15517,0,0.75921,0.63855,0.71697,0.44047,0.66059,0.52209,0.5086,0.15942,1.36124,1.2816,1.30088,1.29912,0,0.0018614,0.0018614,0.0018614
9,720.293,1.04813,1.54244,0.9965,1.15504,0,0.72541,0.70023,0.7203,0.45457,0.64937,0.61446,0.55049,0.17534,1.31342,1.25534,1.22448,1.25374,0,0.0018416,0.0018416,0.0018416
10,808.503,1.02161,1.53102,0.95991,1.14461,0,0.80488,0.67871,0.72409,0.47129,0.7001,0.59036,0.55139,0.1718,1.23068,1.28684,1.24965,1.21242,0,0.0018218,0.0018218,0.0018218
11,889.173,0.99785,1.52221,0.93337,1.12395,0,0.77664,0.71888,0.72956,0.48595,0.68598,0.64257,0.55272,0.17021,1.23114,1.29649,1.24497,1.17062,0,0.001802,0.001802,0.001802
12,969.739,1.00856,1.52861,0.94988,1.13421,0,0.69005,0.65863,0.67764,0.41061,0.58623,0.54055,0.48743,0.1443,1.30932,1.29936,1.32954,1.22915,0,0.0017822,0.0017822,0.0017822
13,1032.32,0.99994,1.54002,0.92006,1.13099,0,0.76195,0.66845,0.70857,0.4687,0.67389,0.56627,0.53105,0.17774,1.23096,1.21219,1.22925,1.18483,0,0.0017624,0.0017624,0.0017624
